Elo,Pts/Pld,GfA,GaA
1637,2.8,2.00,0.45
1618,2.25,1.80,0.60
1571,2.15,1.70,0.40
1446,1.8,1.45,0.95
1459,1.7,1.35,0.85
1325,1.5263157894736843,1.10,1.00
1396,1.3,0.75,0.75
1342,1.368421052631579,1.21,1.31
1348,1.1,0.90,1.50
1374,1.105263157894737,0.84,1.15
1278,1.05,0.70,1.25
1287,1.0526315789473684,0.84,1.21
1321,1.0,0.75,1.45
1288,0.85,0.90,1.45
1266,0.65,0.55,1.40
1229,0.45,0.40,1.55
