Elo,Pts/Pld,GfA,GaA
1501,1.85,1.60,0.85
1450,1.8,2.05,1.40
1421,1.7,1.65,1.25
1418,1.7,1.45,1.15
1431,1.55,1.55,1.20
1442,1.5789473684210527,1.47,1.15
1446,1.5,1.15,0.90
1417,1.45,1.40,1.40
1423,1.4,1.50,1.25
1385,1.35,1.20,1.35
1393,1.3,1.10,0.90
1421,1.25,1.00,1.05
1361,1.25,1.00,1.25
1388,1.2,1.40,1.65
1360,1.05,0.80,1.25
1418,0.85,0.95,1.45
1330,0.85,0.95,1.80
1341,0.8421052631578947,0.89,1.31
1326,0.75,1.10,1.65
