Elo,Pts/Pld,GfA,GaA
1563,2.1,2.30,0.70
1485,2.0,2.04,0.76
1380,1.9523809523809523,1.52,0.95
1416,1.8571428571428572,1.61,1.14
1325,1.7142857142857142,1.23,1.23
1321,1.7,1.25,1.20
1279,1.4285714285714286,1.23,0.90
1351,1.380952380952381,1.42,1.04
1243,1.0,0.95,1.57
1144,0.6666666666666666,0.66,2.04
1162,0.5714285714285714,0.71,1.85
1157,0.47619047619047616,0.71,2.19
